Delivery Order ID,Project Name,Client,Notes,Offer Confidence,Capability Domain,Domain Specialization,Revenue Stream,Training Methodology
019c1ed2-8668-78e4-9b5b-17d639e8e171,[Anthropic] - [Anthropic - Legal Reasoning Environment],Anthropic,Legal reasoning environments with structured case materials,Based on proposal,"Agentic & Tool Use, Reasoning & Knowledge",Legal & Compliance,Managed Services,"RL Gym, SFT Demonstrations"
019aaf09-bed9-7434-9de3-21b6b5ce8a91,[Amazon] - [Amazon Lab126 Wearables Data Collection Part 2 2025],Amazon,Facial video collection with expression variations,Based on proposal,Multimodal,General,Managed Services,SFT Demonstrations
,[AGI (Amazon)] - [Off-the-shelf - Tau-Bench],Amazon (AGI),Benchmark for testing agent performance in domain-specific environments,Based on proposal,Agentic & Tool Use,General,Off-the-shelf,Benchmarking
,[Amazon] - [Amazon Q - CSV Q&A 2025],Amazon,Generate Q&A pairs from CSV data for Amazon Q,Based on proposal,Reasoning & Knowledge,General,Managed Services,SFT Demonstrations
019bb691-c69b-7231-b054-d80513c7fb20,Amazon Alexa - Web Query Relevance,Amazon,Web query relevance evaluation for Alexa,⚠️ No proposal,Reasoning & Knowledge,General,Managed Services,"Benchmarking, Preference Data"
019ac525-99eb-74cb-8d48-2e1a7aaf45a6,[AGI (Amazon)] - [AGI Model Eval 2 sprint],Amazon (AGI),Multi-domain prompt generation & model eval,Based on proposal,Reasoning & Knowledge,General,Managed Services,Benchmarking
,[Amazon] - [Amazon Q - PDF Q&A 2025],Amazon,Generate 350+ Q&A pairs from PDF data for Amazon Q,Based on proposal,"Multimodal, Reasoning & Knowledge",General,Managed Services,SFT Demonstrations
019c1ea6-c341-72a1-83e9-a335d8cd2da2,[Amazon] - [Amazon Prime Video - Pairwise Preferences],Amazon,Pairwise preference judgments for video search ranking (multilingual),Based on proposal,"Multimodal, Reasoning & Knowledge",General,Managed Services,Preference Data
019bb694-f1e6-7256-8602-6eb4142f3c47,Anthropic - CU Agent - Preferences,Anthropic,Computer use agent preference evaluation,⚠️ No proposal,Agentic & Tool Use,General,Managed Services,Preference Data
,[Amazon] - [Amazon Edge AI - Video Collection Long Form - Pilot],Amazon,Long-form video collection for Edge AI,Based on proposal,"Multimodal, Robotics & Embodied AI",General,Managed Services,SFT Demonstrations
,[Amazon] - [Amazon Q - Salesforce Connector Reasoning Q&A],Amazon,Reasoning & answer derivations for Salesforce connector tool,Based on proposal,"Agentic & Tool Use, Reasoning & Knowledge",Business & Consulting,Managed Services,SFT Demonstrations
019b0949-ce8a-77a2-ae44-ca1c79395a44,[Amazon] - [Amazon Lab126 Home Activity Data Collection],Amazon,In-home activity video collection for home robotics training,Based on proposal,"Multimodal, Robotics & Embodied AI",General,Managed Services,SFT Demonstrations
019a521f-62ad-79d8-8a02-cd7a40e9fe15,[Amazon] - [Amazon Lab126 Wearables Part 1 2025 - Single Frame Selection],Amazon,Frame selection & annotation from wearable device footage,Based on proposal,Multimodal,General,Managed Services,SFT Demonstrations
019aaf0d-b0d8-7093-8b6a-ade042cf9449,[Amazon] - [Amazon Lab126 Wearables Part 2 2025 Frame Selection and Annotation],Amazon,Frame selection & facial expression/orientation annotation,Based on proposal,Multimodal,General,Managed Services,SFT Demonstrations
,[AGI (Amazon)] - [Amazon AGI Model Evals],Amazon (AGI),Human evaluation across 7 domains (coding / math / bio / business etc.),Based on proposal,Reasoning & Knowledge,General,Managed Services,Benchmarking
019ac507-42cc-776c-b2bd-e9fc04c2c3ea,[Amazon] - [Amazon Edge AI (Medium Complexity) - Video Collection Short Form Phase 2],Amazon,Short-form video collection - medium complexity,Based on proposal,"Multimodal, Robotics & Embodied AI",General,Managed Services,SFT Demonstrations
,[Anthropic] - [Anthropic - Computationally Intensive STEM Q&As],Anthropic,Challenging STEM problems requiring scientific computation,Based on proposal,Reasoning & Knowledge,STEM & Science,Managed Services,SFT Demonstrations
019aaf0c-38b4-78c9-a361-26eb5910b36f,[Amazon] - [Amazon Lab126 Wearables Part 2 2025 Frame Extraction],Amazon,Frame extraction & facial annotation from wearables video,Based on proposal,Multimodal,General,Managed Services,SFT Demonstrations
019a96d1-890d-7b70-a0fe-e3d0ab7ce13f,[Amazon] - [Pilot: Amazon Prime Video - Pairwise Preferences],Amazon,Pilot for pairwise preference video search ranking,Based on proposal,"Multimodal, Reasoning & Knowledge",General,Managed Services,Preference Data
019b0890-bb3b-7f63-93b8-5081dde6fb6f,[Amazon] - [Amazon Edge AI (Easy Complexity - New) - Video Collection Short Form Phase 2],Amazon,Short-form video collection - easy complexity (new),Based on proposal,"Multimodal, Robotics & Embodied AI",General,Managed Services,SFT Demonstrations
019bb693-9296-7422-a251-6d2e220eaf8d,P13N: Complements ASIN Level [US],Amazon,Product complementarity ASIN-level annotation,⚠️ No proposal,Reasoning & Knowledge,Business & Consulting,Managed Services,SFT Demonstrations
019ac508-bbc6-78fd-b133-31a8815d8ecd,[Amazon] - [Amazon Edge AI (High Complexity) - Video Collection Short Form Phase 2],Amazon,Short-form video collection - high complexity,Based on proposal,"Multimodal, Robotics & Embodied AI",General,Managed Services,SFT Demonstrations
,[Aleph Alpha] - [Aleph Alpha - OCR Multi-Domain Dataset of Complex Documents],Aleph Alpha,OCR dataset of invoices / patents / contracts in EN & DE,Based on proposal,Multimodal,"Business & Consulting, Legal & Compliance",Off-the-shelf,SFT Demonstrations
019a7805-6453-70b7-88a5-fe5da3cca13f,[AGI (Amazon)] - [Amazon AGI - MCP Eval],Amazon (AGI),Evaluate Nova model on tool use / MCP reasoning / policy adherence,Based on proposal,Agentic & Tool Use,General,Managed Services,Benchmarking
,[Amazon] - [Amazon Edge AI (Easy Complexity) - Video Collection Short Form Phase 2],Amazon,Short-form video collection - easy complexity,Based on proposal,"Multimodal, Robotics & Embodied AI",General,Managed Services,SFT Demonstrations
019adf60-b39c-746b-a4b3-52bd1b7798a4,[Anthropic] - [Anthropic - Virtual companies simulations],Anthropic,Virtual company simulations for agent training,Based on proposal,Agentic & Tool Use,Business & Consulting,Managed Services,"RL Gym, SFT Demonstrations"
,[ByteDance] - [ByteDance - Deep Research Trajectory Optimizations (Pilot)],ByteDance,Crowdsourced pipeline for LLM/VLM improvement & RLHF labeling,Based on proposal,"Agentic & Tool Use, Reasoning & Knowledge",General,Managed Services,"Preference Data, RL Gym"
019b377c-4c95-7952-9580-41abcda509db; 019ce6df-393c-7e94-aa29-f753a53ac710,[Meta AI] - [Meta Interactive Preferences],Meta AI,Interactive preference eval (reasoning + agentic behavior),Based on proposal,"Agentic & Tool Use, Reasoning & Knowledge",General,Managed Services,Preference Data
,[Meta AI] - [Meta Static Preference Conversationality],Meta AI,Preference eval of conversational quality,Based on proposal,Reasoning & Knowledge,General,Managed Services,Preference Data
,[Meta AI] - [Meta Preferences Coding],Meta AI,Pairwise preference eval for code generation / review / validation,Based on proposal,"Coding & SWE, Reasoning & Knowledge",General,Managed Services,Preference Data
019abb77-03bb-735b-a05c-56c88f009f05,[Meta AI] - [Meta - Personalization Preferences],Meta AI,Evaluation of personalized AI responses via user preferences,Based on proposal,Reasoning & Knowledge,General,Managed Services,Preference Data
,[Dubformer] - [Research - WMT Dubformer 2025 - Translation],Dubformer,Machine translation dataset creation,Based on proposal,Reasoning & Knowledge,General,Managed Services,SFT Demonstrations
,[Anthropic] - [Anthropic - Vertical specific long-horizon tasks],Anthropic,"1000+ long-horizon RL environments (consulting, accounting, finance, retail)",Based on proposal,Agentic & Tool Use,General,Managed Services,"RL Gym, SFT Demonstrations"
019bfaf4-3cc4-7f67-81b2-c0018fee2df2,[Humanoid] - [Humanoid Video Data Collection],Humanoid,Video of robotic manipulation gestures & object interactions,Based on proposal,"Multimodal, Robotics & Embodied AI",General,Managed Services,SFT Demonstrations
,[Dubformer] - [Research - WMT Dubformer 2025 - Evaluation - RU],Dubformer,Russian machine translation evaluation,Based on proposal,Reasoning & Knowledge,General,Managed Services,Benchmarking
019bb79a-5fbb-784f-92fd-a5389a2c97a7,[JetBrains] - [JetBrains - Benchmark for AI Assistant Autoeval],JetBrains,Expert-scored benchmark for AI coding assistants (multi-language),Based on proposal,Coding & SWE,General,Managed Services,Benchmarking
,[Anthropic] - [Anthropic red-teaming v3],Anthropic,Prompt injection attacks in computer/browser use environments,Based on proposal,Safety & Alignment,General,Managed Services,Preference Data
,[Meta AI] - [Meta Static Preference STEM],Meta AI,Preference eval of STEM problem-solving,Based on proposal,Reasoning & Knowledge,STEM & Science,Managed Services,Preference Data
,[Dubformer] - [Research - WMT Dubformer 2025 - Evaluation - UK],Dubformer,Ukrainian machine translation evaluation,Based on proposal,Reasoning & Knowledge,General,Managed Services,Benchmarking
,[Liquid AI] - [http://Liquid.ai - SFT tool-use data],Liquid AI,SFT dataset for tool-use tasks & agentic behaviors,Based on proposal,Agentic & Tool Use,General,Managed Services,SFT Demonstrations
,[Meta AI] - [Meta AB Preference],Meta AI,Pairwise preference ranking with Bradley-Terry inference,Based on proposal,Reasoning & Knowledge,General,Managed Services,Preference Data
,[ByteDance] - [ByteDance - Prompt Generation (Phase 2)],ByteDance,Production-scale QA generation & RLHF data pipeline,Based on proposal,Reasoning & Knowledge,General,Managed Services,SFT Demonstrations
,[ByteDance] - [ByteDance - Prompt Generation (Pilot)],ByteDance,QA pair generation & dataset aggregation for model improvement,Based on proposal,Reasoning & Knowledge,General,Managed Services,SFT Demonstrations
019a7301-d1f0-78f9-abcc-4ebe5dd6e28b,[Anthropic] - [Anthropic - Sequential and procedural knowledge tasks],Anthropic,Computationally intensive STEM problems requiring Python & multi-step reasoning,Based on proposal,Reasoning & Knowledge,General,Managed Services,SFT Demonstrations
,[ByteDance] - [ByteDance - Deep Research Trajectory Optimizations (Phase 2)],ByteDance,Production-scale RLHF/reward model training pipeline,Based on proposal,"Agentic & Tool Use, Reasoning & Knowledge",General,Managed Services,"Preference Data, RL Gym"
019ba449-b95f-7e4b-83c9-38edf24bafef,[Meta AI] - [Meta Elo AB Preferences],Meta AI,Elo-style pairwise preference model comparison,Based on proposal,Reasoning & Knowledge,General,Managed Services,Preference Data
,[JetBrains] - [JetBrains - Virtual Coding Company],JetBrains,Virtual coding company environment,Based on proposal,"Agentic & Tool Use, Coding & SWE",General,Managed Services,"RL Gym, SFT Demonstrations"
019b2d47-48b6-700d-90d0-14cd65641819,[Figure] - [Figure AI - Human Egocentric Video Data Using Cellphones],Figure AI,Egocentric video of human activities for robotics/vision training,Based on proposal,"Multimodal, Robotics & Embodied AI",General,Managed Services,SFT Demonstrations
,[Meta AI] - [Meta - Generalist PRQ],Meta AI,Multi-domain data labeling (code / audio / multimodal / agentic),Based on proposal,Reasoning & Knowledge,General,Managed Services,Preference Data
,[Meta AI] - [Meta - Generalist Pilot PRQ],Meta AI,Pilot for multi-domain AI data annotation & evaluation,Based on proposal,Reasoning & Knowledge,General,Managed Services,Preference Data
019c22a1-f227-72bc-bd84-ebc922576b10,[Microsoft] - [Microsoft - Bing Places Local SBS],Microsoft,Side-by-side comparison of local search results,Based on proposal,Reasoning & Knowledge,Business & Consulting,Managed Services,"Benchmarking, Preference Data"
,[Shopify] - [Shopify - Catalogue - Rule Finding (1/3) Option Map],Shopify,Clustering adequacy evaluation against rules,Based on proposal,Reasoning & Knowledge,Business & Consulting,Managed Services,SFT Demonstrations
,[Microsoft] - [Microsoft Copilot Studio - Orchestration Agents Phase 2],Microsoft,Multi-turn conversation datasets for agent orchestration & tool use,Based on proposal,Agentic & Tool Use,General,Managed Services,SFT Demonstrations
,[Perplexity] - [Perplexity (KR) Serp2Serp Comparison],Perplexity,Korean search results comparison,Based on proposal,Reasoning & Knowledge,General,Managed Services,"Benchmarking, Preference Data"
,[Perplexity] - [Perplexity (ID) Serp2Serp Comparison],Perplexity,Indonesian search results comparison,Based on proposal,Reasoning & Knowledge,General,Managed Services,"Benchmarking, Preference Data"
,[Perplexity] - [Perplexity (IT) Serp2Serp Comparison],Perplexity,Italian search results comparison,Based on proposal,Reasoning & Knowledge,General,Managed Services,"Benchmarking, Preference Data"
,[Perplexity] - [Perplexity (ZH) Serp2Serp Comparison],Perplexity,Chinese search results comparison,Based on proposal,Reasoning & Knowledge,General,Managed Services,"Benchmarking, Preference Data"
,[Perplexity] - [Perplexity (PT) Serp2Serp Comparison],Perplexity,Portuguese search results comparison,Based on proposal,Reasoning & Knowledge,General,Managed Services,"Benchmarking, Preference Data"
,[Perplexity] - [Perplexity (ES) Serp2Serp Comparison],Perplexity,Spanish search results comparison,Based on proposal,Reasoning & Knowledge,General,Managed Services,"Benchmarking, Preference Data"
,[Meta AI] - [Meta Static Preference Tool Use],Meta AI,Preference eval of AI tool use in multi-step tasks,Based on proposal,Agentic & Tool Use,General,Managed Services,Preference Data
019cb8de-6630-75ad-98c4-b41700b65fe8,Shopify - Catalogue - Options Judge,Shopify,Product options quality judgment,⚠️ No proposal,Reasoning & Knowledge,Business & Consulting,Managed Services,Benchmarking
,[Perplexity] - [Perplexity (DE) Serp2Serp Comparison],Perplexity,German search results comparison,Based on proposal,Reasoning & Knowledge,General,Managed Services,"Benchmarking, Preference Data"
019c2e84-9681-7676-a3a7-601871a783e1,[Microsoft] - [Microsoft AI - Charxiv CoT],Microsoft,CoT reasoning for vision-language models on charts from academic papers,Based on proposal,"Multimodal, Reasoning & Knowledge",STEM & Science,Managed Services,SFT Demonstrations
,[Microsoft] - [Microsoft Bing Local - Query-Business Relevance Pilot],Microsoft,Local search relevance annotation & evaluation,Based on proposal,Reasoning & Knowledge,Business & Consulting,Managed Services,Benchmarking
,[Microsoft] - [Microsoft Copilot Studio - MCP Sandbox Engine],Microsoft,Create AI agents with knowledge bases & evaluate Q&A chatbots,Based on proposal,Agentic & Tool Use,General,Managed Services,"Benchmarking, SFT Demonstrations"
019a96d1-0c04-7f23-ad4c-e32e03248b01,[Microsoft] - [Microsoft Dynamics 365 - Agent Eval Rubrics],Microsoft,250 eval test cases for agent performance on CRM tasks,Based on proposal,Agentic & Tool Use,Business & Consulting,Managed Services,Benchmarking
,[Perplexity] - [Perplexity (RU) Serp2Serp Comparison],Perplexity,Russian search results comparison,Based on proposal,Reasoning & Knowledge,General,Managed Services,"Benchmarking, Preference Data"
,[Perplexity] - [Perplexity (JA) Serp2Serp Comparison],Perplexity,Japanese search results comparison,Based on proposal,Reasoning & Knowledge,General,Managed Services,"Benchmarking, Preference Data"
019a5418-5f82-71a0-9102-8e308bb68cf8,[Shopify] - [Shopify - Ads Sensitive Content],Shopify,Sensitive content annotation for ads,Based on proposal,Safety & Alignment,Business & Consulting,Managed Services,"Preference Data, SFT Demonstrations"
,[Meta AI] - [Meta Static Preferences Math],Meta AI,Preference eval of math problem-solving,Based on proposal,Reasoning & Knowledge,STEM & Science,Managed Services,Preference Data
019a7774-a8f1-7362-9af7-b8b2ed7ad7b5,[Shopify] - [Shopify - Catalogue - Precision Judge (Scaling)],Shopify,Product cluster evaluation (PASS/FAIL),Based on proposal,Reasoning & Knowledge,Business & Consulting,Managed Services,Benchmarking
019cd1ed-1fb3-7260-9e13-2f09b538af51,Shopify - Catalogue - Option Map (March Extension),Shopify,Extension of catalogue option mapping,⚠️ No proposal,Reasoning & Knowledge,Business & Consulting,Managed Services,SFT Demonstrations
,[Perplexity] - [Perplexity (FR) Serp2Serp Comparison],Perplexity,French search results comparison,Based on proposal,Reasoning & Knowledge,General,Managed Services,"Benchmarking, Preference Data"
,[Meta AI] - [Meta Static Preferences Conversationalist (48hr)],Meta AI,48hr conversational quality evaluation,Based on proposal,Reasoning & Knowledge,General,Managed Services,Preference Data
019b4c9e-371c-7609-af83-d68d94acff98; 019b36fe-6891-70b1-8adb-e84462a11ae6,[Microsoft] - [Microsoft BIS - Finance Agent - Q&A Prompt Set],Microsoft,Q&A datasets for Finance Agent with ERP systems,Based on proposal,"Agentic & Tool Use, Reasoning & Knowledge",Finance & Economics,Managed Services,SFT Demonstrations
019c7bd8-24e1-7feb-818d-1337bd0a37a0,[Tools for Humanity] - [Tools For Humanity Photo Collection],Tools for Humanity,Photo/image data collection,Based on proposal,Multimodal,General,Managed Services,SFT Demonstrations
,[Shopify] - [Shopify - Catalogue - Rule Finding (1/3) Option Map] (2),Shopify,Same as above (duplicate file),Based on proposal,Reasoning & Knowledge,Business & Consulting,Managed Services,SFT Demonstrations
,[Shopify] - [Shopify - Plaid transaction classification],Shopify,Merchant transaction classification into account categories,Based on proposal,Reasoning & Knowledge,Finance & Economics,Managed Services,SFT Demonstrations
,[Shopify] - [Shopify - Catalogue - Taxonomy Evolution],Shopify,Taxonomy change evaluation & approval,Based on proposal,Reasoning & Knowledge,Business & Consulting,Managed Services,SFT Demonstrations
,[Shopify] - [Shopify - Merchant Category Intent Annotation],Shopify,Merchant category intent annotation (33k+ items),Based on proposal,Reasoning & Knowledge,Business & Consulting,Managed Services,SFT Demonstrations
019a96e9-b47e-7dc4-8394-418064e5ddff,[White Circle] - [White Circle - AI Safety Labeling Pilot],White Circle,AI safety violation labeling & content moderation,Based on proposal,Safety & Alignment,General,Managed Services,"Preference Data, SFT Demonstrations"
019aca82-4e7a-7255-ae8f-a7e3ec5959f2,[Shopify] - [Shopify - Option Keys],Shopify,Product option key extraction from storefronts,Based on proposal,Reasoning & Knowledge,Business & Consulting,Managed Services,SFT Demonstrations
,[Shopify] - [Shopify - Cluster Annotations & Options],Shopify,Product clustering annotations by rules,Based on proposal,Reasoning & Knowledge,Business & Consulting,Managed Services,SFT Demonstrations
019bdfd6-458d-7cd5-8ee0-31470634acda,[Shopify] - [Shopify - Search Relevance 3],Shopify,Search relevance annotation,Based on proposal,Reasoning & Knowledge,Business & Consulting,Managed Services,"Benchmarking, Preference Data"
,[Shopify] - [Shopify - Sidekick Apps eval],Shopify,Evaluate Sidekick AI agent (analytics / flows / code gen),Based on proposal,"Agentic & Tool Use, Coding & SWE",Business & Consulting,Managed Services,Benchmarking
,[Shopify] - [Shopify - Consumer Agent - ACE Golden set],Shopify,Training data for consumer agent on http://shop.app,Based on proposal,Agentic & Tool Use,Business & Consulting,Managed Services,SFT Demonstrations